Song,Last Date Performed,Note
Amazing Grace My Chains Are Gone,11/9/2025,Guitar
"Amen, Amen, Amen",1/11/2026,Acapella
Anchor For the Soul,1/5/2025,Guitar
Angels We Have Heard on High,1/5/2025,Christmas
Away in a Manger,1/5/2025,Christmas
Awesome God,11/16/2025,Guitar
Beautiful Name,1/5/2025,Guitar
"Because He Lives, Amen",1/5/2025,Guitar
Because He Lives (Gaither/Traditional),9/7/2025,Guitar
Be With Me Lord,1/5/2025,Guitar
Bound to the Rock,11/16/2025,Acapella
Build My Life,1/18/2026,Guitar
Come and Go With Me to My Father's House,11/23/2025,Acapella
Come Thou Fount of Every Blessing,11/23/2025,Guitar
"Come, Now Is The Time To Worship",1/5/2025,Guitar
Cornerstone,1/5/2025,Guitar
Deeper,1/5/2025,Guitar
Encourage My Soul,1/5/2025,Acapella
Fairest Lord Jesus,1/5/2025,Acapella
Feliz Navidad,1/5/2025,Christmas
The First Noel,12/7/2025,Christmas
Fill Me Lord,1/5/2025,Acapella
From Whom All Blessings Flow,1/5/2025,Guitar
Glory Be to Jesus,1/5/2025,Acapella
"Glory, Glory/Gloria, Gloria",1/5/2025,Acapella
God Is So Good,1/5/2025,Acapella
Good Good Father,1/5/2025,Guitar
Great Among the Nations,1/5/2025,Acapella
Great Is Thy Faithfulness,1/4/2026,Acapella
Goodness of God,11/9/2025,Guitar
Guilt to Glory,1/5/2025,Guitar
Hallelujah What a Savior,1/5/2025,Acapella
"Hallelujah, Lord We Sing Your Praises Loud",6/22/2025,Acapella
Hark the Herald Angels Sing,12/14/2025,Christmas
Hard Fighting Soldier,1/5/2025,Acapella
Here I Am to Worship,1/4/2026,Guitar
His Love Endures Forever,1/5/2025,Acapella
Hold To God's Unchanging Hand,1/5/2025,Guitar
Holy Is the Lord God Almighty,1/5/2025,Guitar
"Holy, Holy, Holy",1/11/2026,Guitar
Home In Heaven,1/11/2026,Guitar
How Can It Be?,1/5/2025,Acapella
How Great is Our God,1/4/2026,Guitar
How Great Thou Art,1/5/2025,Guitar
Humble Yourself In the Sight of the Lord,1/5/2025,Acapella
I Love to Praise His Holy Name,1/11/2026,Acapella
I Have Decided to Follow Jesus,8/3/2025,Acapella
I Need Your Love,3/16/2025,Acapella
I'll Fly Away,1/5/2025,Guitar
I'm Coming Up Lord,1/25/2026,Acapella
In Christ Alone,1/11/2026,Guitar
I Tried and I Tried,12/14/2025,Acapella
I Trust in God,11/9/2025,Guitar
I Will Call Upon the Lord,11/9/2025,Acapella
I Will Rise,1/5/2025,Guitar
Jehova Jira,1/5/2025,Acapella
Jesus is Lord,1/5/2025,Acapella
Jireh,1/5/2025,Guitar
"Jordan River, I'm Bound to Cross",7/27/2025,Acapella
Joy to the World,12/14/2025,Christmas
Lamb of God,11/16/2025,Acapella
Lead Me to Calvary,1/25/2026,Acapella
Let Your Living Water Flow,1/5/2025,Acapella
Lion Of Judah,1/5/2025,Acapella
Lord I Need You,1/18/2026,Guitar
Lord I Lift Your Name on High,1/5/2025,Guitar
"Lord, God Almighty",1/5/2025,Acapella
Mighty to Save,1/5/2025,Guitar
My Lord Heard Jerusalem,12/7/2025,Acapella
"No Place I'd Rather Be, Set A Fire",1/18/2026,Guitar
Nothing I Hold Onto,8/24/2025,Guitar
O Come All Ye Faithful,12/7/2025,Christmas
Oh Lord Our Lord How Majestic Is Your Name In All The Earth,1/4/2026,Acapella
O Come to the Altar,1/25/2026,Guitar
Our God,9/21/2025,Guitar
Open the Eyes of My Heart,1/25/2026,Guitar
Praises Heard Around the World,1/5/2025,Guitar
"Psalm 23, I Am Not Alone",12/14/2025,Guitar
Que Seria De Mi?,1/1/2025,"Guitar,Spanish"
Revelation Song,1/5/2025,Guitar
Romans 11:33-36,5/25/2025,Guitar
Sanctuary,1/5/2025,Acapella
Seek Ye First,5/25/2025,Acapella
Shout to the Lord,1/5/2025,Guitar
Show Me the Way,1/5/2025,Acapella
Silent Night,12/14/2025,Christmas
Sing Amen Amen,1/5/2025,Acapella
Sing Hallelujah to the Lord,11/9/2025,Acapella
Soon and Very Soon,6/6/2025,Acapella
Take the Lord With You,1/18/2026,Acapella
Thank You Lord For Loving Me,11/23/2025,Acapella
The Steadfast Love of the Lord,9/7/2025,Acapella
The Old Rugged Cross,1/5/2025,Guitar
"To God Be the Glory, Great Things He Hath Done",1/5/2025,Guitar
"Trouble Come My Way, Jesus Will Fix It",1/5/2025,Acapella
Unto Thee O Lord,1/5/2025,Acapella
Victory In Jesus,4/20/2025,Acapella
Wade in the Water,1/5/2025,Acapella
Waymaker,11/16/2025,Guitar
We Are Marching in The Light of God (Siyahamba),1/5/2025,Acapella
We Will Glorify,1/4/2026,Acapella
We Praise Thee O God (Revive Us Again),9/21/2025,Guitar
Were You There?,1/5/2025,Acapella
What A Fellowship,1/5/2025,Acapella
What A Friend We Have In Jesus,1/18/2026,Acapella
What Can Wash Away My Sin,1/5/2025,Acapella
When I Survey the Wondrous Cross,1/25/2026,Acapella
Would You Be Poured Out Like Wine,1/5/2025,Acapella
You Are My Strength,12/7/2025,Guitar
